"location","cause","year","val"
"Afghanistan","Cardiovascular diseases",2020,63955.5054720738
"Afghanistan","Self-harm and interpersonal violence",2020,41660.9172574346
"Afghanistan","Maternal and neonatal disorders",2020,28916.165943846
"Afghanistan","Cardiovascular diseases",2021,66070.1679390948
"Afghanistan","Self-harm and interpersonal violence",2021,46364.6279682523
"Afghanistan","Maternal and neonatal disorders",2021,29400.4492305794
"Albania","Cardiovascular diseases",2020,13195.0425354227
"Albania","Neoplasms",2020,4890.0649677981
"Albania","Neurological disorders",2020,1398.2853365185
"Albania","Cardiovascular diseases",2021,13517.1320434727
"Albania","Neoplasms",2021,5042.34355639085
"Albania","Neurological disorders",2021,1465.2448788623
"Algeria","Cardiovascular diseases",2020,102890.489618488
"Algeria","Neoplasms",2020,24567.8107553588
"Algeria","Diabetes and kidney diseases",2020,14135.6349755316
"Algeria","Cardiovascular diseases",2021,107417.696310203
"Algeria","Neoplasms",2021,25418.7361423692
"Algeria","Diabetes and kidney diseases",2021,14729.7448196821
"American Samoa","Cardiovascular diseases",2020,130.082927455773
"American Samoa","Neoplasms",2020,69.8522583317045
"American Samoa","Diabetes and kidney diseases",2020,69.3795989273105
"American Samoa","Cardiovascular diseases",2021,133.689086433999
"American Samoa","Neoplasms",2021,71.116728169634
"American Samoa","Diabetes and kidney diseases",2021,70.0169844561034
"Andorra","Neoplasms",2020,226.271763704406
"Andorra","Cardiovascular diseases",2020,172.366123733013
"Andorra","Neurological disorders",2020,50.8505220054835
"Andorra","Neoplasms",2021,229.90003408477
"Andorra","Cardiovascular diseases",2021,175.738455042278
"Andorra","Neurological disorders",2021,51.5519229502096
"Angola","Cardiovascular diseases",2020,26335.4335532628
"Angola","Respiratory infections and tuberculosis",2020,21990.9032005572
"Angola","Maternal and neonatal disorders",2020,19386.253552435
"Angola","Cardiovascular diseases",2021,27339.9266111033
"Angola","Respiratory infections and tuberculosis",2021,20759.2303882502
"Angola","Maternal and neonatal disorders",2021,18625.027279305
"Antigua and Barbuda","Cardiovascular diseases",2020,210.415301615952
"Antigua and Barbuda","Neoplasms",2020,139.672301747562
